Ownership Name,DBA Name,Street Address,City,State,Business Start Date,Location Start Date,Location End Date,Mail Address,Mail City,Mail Zipcode,Mail State,NAICS Code Description,Parking Tax,Transient Occupancy Tax,Supervisor District,Neighborhoods - Analysis Boundaries,Business Location,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,Neighborhoods
Nina Jung,The Garden,3638 Sacramento St,San Fransisco,CA,2/15/21,2/15/21,,21 Floribel Ave,San Anselmo,94960,CA,Private Education and Health Services,FALSE,FALSE,2,Presidio Heights,POINT (-122.452614 37.787495),10,8,6,31,10
Alvarado Kathleen B,Law Offices/kathleenb Alvarado,555 California St 4925,San Francisco,CA,2/1/98,12/1/16,,4 Embarcadero Ctr Ste 1400,San Francisco,94111,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40371 37.792706),108,6,3,8,108
Emily Meinhardt,Studio Hardt,168 Jersey St,San Francisco,CA,2/26/21,2/26/21,,168 Jersey St,San Francisco,94114,CA,Multiple,FALSE,FALSE,8,Noe Valley,POINT (-122.42892 37.750828),84,3,5,22,84
Isensee Rik,"Rik Isensee, Lcsw",533a Castro St,San Francisco,CA,4/6/98,8/1/11,8/1/11,175 Red Rock Way,San Francisco,94131,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,8,Castro/Upper Market,POINT (-122.43491 37.760326),38,3,5,5,38
Chelsea Belle Roedel,Chelsea Belle Roedel,1259 Oak St Apt 2,San Francisco,CA,3/1/19,3/1/19,2/19/21,,,,,Private Education and Health Services,FALSE,FALSE,5,Haight Ashbury,POINT (-122.44004 37.772774),112,7,11,3,112
Isensee Rik,Rik Isensee Lcsw,533 Castro St,San Francisco,CA,4/6/98,8/10/11,,175 Red Rock Way,San Francisco,94131,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,8,Castro/Upper Market,POINT (-122.43491 37.760338),38,3,5,5,38
Branding Science Int'l Llc,Branding Science Int'l Llc,408 Jackson St,San Francisco,CA,8/1/10,1/5/15,,149 New Montgomery St # 564ste,San Francisco,94105,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,3,Chinatown,POINT (-122.40208 37.796623),106,6,3,6,106
Facebook Inc,"Facebook, Inc.",250 Howard St Fl 29th,San Francisco,CA,7/1/06,6/1/21,,1 Hacker Way,Menlo Park,94025,CA,Information,FALSE,FALSE,6,Financial District/South Beach,POINT (-122.393875 37.790283),108,1,10,8,108
Underwood Associates,Underwood Associates,1320 Underwood Ave,San Francisco,CA,9/8/20,9/8/20,,6133 Hill Rd,Oakland,94618,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,10,Bayview Hunters Point,POINT (-122.38666 37.726875),86,2,9,1,86
Branding Science Int'l Llc,Branding Science Int'l Llc,530 Bush St,San Francisco,CA,8/1/10,8/1/10,1/4/15,149 New Montgomery St # 564ste,San Francisco,94105,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,3,Financial District/South Beach,POINT (-122.405975 37.790543),104,6,3,8,104
Yee Daniel C,2300 Taraval St Apt,2300 Taraval St,San Francisco,CA,8/19/75,4/18/97,,2306 Taraval St 103 Apt,San Francisco,94116,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,4,Sunset/Parkside,POINT (-122.49081 37.742413),40,10,7,35,40
Hitchcock Charles D,Mission Wood Products Inc,27 Paul Dr,Brisbane+q4068,,1/1/74,1/1/74,11/30/20,,,,,Wholesale Trade,FALSE,FALSE,,,POINT (153.04985 -27.682877),,,,,
Sarkissian Hryre S,Hs Fine Jewelry,888 Brannan St 133,San Francisco,CA,1/9/78,8/12/08,12/31/09,888 Brannan St 117 Ste,San Francisco,94103,CA,Retail Trade,FALSE,FALSE,6,South of Market,POINT (-122.40517 37.771538),33,1,10,34,33
Tom James & Janice,5930 California Apts,5930 California St,San Francisco,CA,1/6/77,1/6/77,,718 Noriega St,San Francisco,94122,CA,Accommodations,FALSE,FALSE,1,Outer Richmond,POINT (-122.481094 37.78409),2,8,4,29,2
Apple Nathan,Wizard Construction,1265 Van Dyke Ave,San Francisco,CA,4/1/03,4/1/03,,1265 Van Dyke Ave,San Francisco,94124,CA,Construction,FALSE,FALSE,10,Bayview Hunters Point,POINT (-122.38615 37.72558),78,2,9,1,78
Pak Oriental Rug Inc,Pak Oriental Rug Inc,680 8th St Ste 159,San+francisco,CA,3/24/81,3/24/81,,680 8th St 159 Ste,San Francisco,94103,CA,Wholesale Trade,FALSE,FALSE,6,South of Market,POINT (-122.40472 37.77015),33,1,10,34,33
Brady Air Conditioning Inc,Brady Air Conditioning Inc,338 Canal St Ste 5,S+san+fran,CA,1/1/89,1/1/89,,338 N Canal St 5 Ste,South San Francisco,94080,CA,Construction,FALSE,FALSE,,,POINT (-122.41279 37.651478),,,,,
Coherent Inc,Coherent Inc,P O Box 54980 Santa Clara,Brisbane+q4068,,1/1/89,1/1/89,,5100 Patrick Henry Dr,Santa Clara,95054,CA,Wholesale Trade,FALSE,FALSE,,,POINT (-122.39884 37.682945),,,,,
Hardison Perry R,Roll Out Shelves,1799 10th Ave,San Francisco,CA,9/1/03,4/7/15,1/1/18,1987 35th Ave,San Francisco,94116,CA,Retail Trade,FALSE,FALSE,7,Inner Sunset,POINT (-122.466774 37.754757),44,10,8,14,44
Sweeney James M,Gameday Sportswear,129 Granville Way,San Francisco,CA,1/1/00,1/1/00,,129 Granville Way,San Francisco,94127,CA,Retail Trade,FALSE,FALSE,7,West of Twin Peaks,POINT (-122.46129 37.741432),49,10,8,41,49
Perasso C & D & Goria C,715 Brannan St Building,715 Brannan St,San Francisco,CA,10/1/68,1/1/87,,1960 Broadway Fl 2,San Francisco,94109,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,6,South of Market,POINT (-122.40157 37.774303),32,1,10,34,32
Kyber Jensen,Pottery Barn,151 Union St,San Francisco,CA,12/15/16,12/15/16,2/2/17,2820 Amalfi,Chowchilla,93610,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,3,Financial District/South Beach,POINT (-122.402306 37.801273),77,6,3,8,77
Facebook Inc,"Facebook, Inc.",250 Howard St Fl 34th,San Francisco,CA,7/1/06,6/1/21,,1 Hacker Way,Menlo Park,94025,CA,Information,FALSE,FALSE,6,Financial District/South Beach,POINT (-122.393875 37.790283),108,1,10,8,108
Mckinley Stores Inc,189 Parnassus Apts,189 Parnassus Ave,San Francisco,CA,1/1/70,1/1/70,6/1/20,,,,,Real Estate and Rental and Leasing Services,FALSE,FALSE,5,Haight Ashbury,POINT (-122.45222 37.764526),114,7,11,3,114
Driggers Lon,3841 19th St Apts,3841 19th St,San Francisco,CA,6/10/70,6/10/70,,3841 19th St,San Francisco,94114,CA,Accommodations,FALSE,FALSE,8,Castro/Upper Market,POINT (-122.42912 37.75961),52,3,5,5,52
Settlemier B R,Bigge Crane & Rigging Co,P O Box 1657 San Leandro Ca,Brisbane+q4068,,12/31/98,12/31/98,,10700 Bigge St,San Leandro,94577,CA,Construction,FALSE,FALSE,,,POINT (-122.15856 37.72832),,,,,
Maria Diaz,Diaz House Cleaning,Visitacion Ave,Brisbane,CA,9/6/19,9/6/19,9/6/20,,,,,Administrative and Support Services,FALSE,FALSE,,,POINT (-122.40379 37.68217),,,,,
Wong Miguel-Angelo Etal,430 Lake Apts,430 Lake St,San Francisco,CA,2/23/73,2/23/73,,430 Lake St,San Francisco,94118,CA,,FALSE,FALSE,2,Inner Richmond,POINT (-122.464 37.78673),4,8,6,11,4
Desfosses Claudia Rose,Ad-Lib,148 Benton Ave,San Francisco,CA,7/1/87,1/30/09,,148 Benton Ave,San Francisco,94112,CA,,FALSE,FALSE,9,Bernal Heights,POINT (-122.42438 37.732815),93,9,2,2,93
Mckenzie Gary B,Mckenzies Custodian Mtce Svc,2974 Birmingham Dr,San+pablo,CA,1/17/89,5/17/13,,2974 Birmingham Dr,San Pablo,94806,CA,Certain Services,FALSE,FALSE,,,POINT (-122.33449 37.973007),,,,,
Mckenzie Gary B,Music Establishment,2974 Birmingham Dr,Richmond,CA,1/17/89,5/17/13,,2974 Birmingham Dr,San Pablo,94806,CA,Certain Services,FALSE,FALSE,,,POINT (-122.33449 37.973007),,,,,
Low Jobie H,Low Jobie Hofei - D D S,26 West Portal Ave,San Francisco,CA,8/3/89,8/3/89,4/1/21,,,,,Private Education and Health Services,FALSE,FALSE,7,West of Twin Peaks,POINT (-122.46617 37.740574),46,10,8,41,46
Alvarez Ascension D,Eco Janitorial Inc,207 Augusta St,San Francisco,CA,4/5/11,4/5/11,4/5/11,,,,,,FALSE,FALSE,10,Bayview Hunters Point,POINT (-122.4047 37.734306),87,2,9,1,87
Handshake Ltd,Handshake Ltd,728 Clipper St,San Francisco,CA,10/15/98,10/15/98,12/15/17,0000 Undeliverable Mail,San Francisco,99999,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,8,Noe Valley,POINT (-122.44106 37.74865),51,3,5,22,51
Everstream Energy Capital Mgmt Llc,Everstream Energy Capital Mgmt Llc,101 California St 3150,San Francisco,CA,8/1/13,8/1/13,7/1/15,,,,,Financial Services,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.39771 37.79347),108,6,3,8,108
Avalon Hayes Valley,Avalon Hayes Valley,325 Octavia St,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,5,Hayes Valley,POINT (-122.42439 37.775127),22,4,11,9,22
Mission Bay North,Mission Bay North,255 King St,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,6,Mission Bay,POINT (-122.39289 37.777035),34,1,10,4,34
Century Theatres Inc,Empire Theatre,85 West Portal Ave,San Francisco,CA,1/1/01,1/1/01,2/8/21,3900 Dallas Pkwy Ste 500,Plano,75093,TX,"Arts, Entertainment, and Recreation",FALSE,FALSE,7,West of Twin Peaks,POINT (-122.466705 37.739887),46,10,8,41,46
Mission Bay North 3,Mission Bay 3,383 King St,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,6,Mission Bay,POINT (-122.395744 37.774776),34,1,10,4,34
Avalon Bay Communities Inc,Avalon At Nob Hill,965 Sutter St,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,3,Nob Hill,POINT (-122.416214 37.788227),50,6,3,21,50
Bank Of America Na,"Bank Of America, National Association",302 Folsom Ave,San Francisco,CA,7/1/98,7/1/20,,401 N Tryon St 6th Fl,Charlotte,28255,NC,Financial Services,FALSE,FALSE,6,Financial District/South Beach,POINT (-122.392845 37.788628),32,1,10,8,32
Schevene George M,Rose Gold Society -- Oakland,976 23rd Ave,Oakland,CA,1/1/07,6/8/21,,1251 Carrison St,Berkeley,94702,CA,,FALSE,FALSE,,,POINT (-122.23683 37.77986),,,,,
Avalon Sunset Towers,Avalon Sunset Towers,6 Locksley St,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,7,Inner Sunset,POINT (-122.463005 37.759583),109,7,8,14,109
Eaves Diamond Heights,Eaves Diamond Heights,5235 Diamond Heights Blvd,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,8,Noe Valley,POINT (-122.439255 37.744675),57,9,5,22,57
Ava Nob Hill,Ava Nob Hill,840 Post Rd,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,3,Nob Hill,POINT (-122.415695 37.78739),50,6,3,21,50
Mission Bay North,Avlon Mission Bay North (Bldg 0t1),255 King St,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,6,Mission Bay,POINT (-122.39289 37.777035),34,1,10,4,34
Mission Bay North 3,Avalon At Mission Bay Phase Iii (Bldg 00m),353 King St,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,6,Mission Bay,POINT (-122.39509 37.7753),34,1,10,4,34
Mission Bay North 3,Avalon At Mission Bay Phase Iii (Bldg 00l),353 King St,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,6,Mission Bay,POINT (-122.39509 37.7753),34,1,10,4,34
Avalon Ocean Avenue,Avalon Ocean Avenue,1150 Ocean Ave,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,7,West of Twin Peaks,POINT (-122.455215 37.723747),71,10,8,41,71
Avalon Hayes Valley,Avalon Hayes Valley,400 Laguna St,San Francisco,CA,1/1/14,1/1/14,,4040 Wilson Blvd 1000 Ste,Arlington,22203,VA,Real Estate and Rental and Leasing Services,FALSE,FALSE,5,Hayes Valley,POINT (-122.42587 37.774693),22,4,11,9,22
San Francisco Vein And Vascular Institute Llc,San Francisco Vein And Vascular Institute Llc,1 1 Daniel Burnham Ct Ste 205c,San Francisco,CA,10/15/15,10/15/15,,1 Daniel Burnham Ct 205c Ste,San Francisco,94109,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,2,Western Addition,POINT (-122.421875 37.78702),100,4,6,39,100
Tran Hoang T,Dt Printing,180 Channi Loop,Danville,CA,7/1/05,6/12/20,2/28/21,,,,,,FALSE,FALSE,,,POINT (-121.88421 37.798206),,,,,
Egelman International Ltd,Egelman International Ltd.,520 Foerster St,San Francisco,CA,1/2/18,1/2/18,11/23/20,,,,,"Professional, Scientific, and Technical Services",FALSE,FALSE,7,West of Twin Peaks,POINT (-122.44884 37.732533),95,9,8,41,95
Gonzales Sabino T,2216 Pine Apts,2216 Pine St,San Francisco,CA,1/1/76,1/1/76,,2562 16th Ave,San Francisco,94116,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,2,Pacific Heights,POINT (-122.4324 37.788136),102,4,6,30,102
Kiem Barbara & Bertha,725 Buena Vista Apts,725 Buena Vista Ave,San Francisco,CA,1/1/76,1/1/76,,192 Heather Dr,Atherton,94027,CA,Multiple,FALSE,FALSE,8,Haight Ashbury,POINT (-122.443695 37.767918),112,7,5,3,112
Louie Stanley K & Phyllis,2521 Judah Street,2521 Judah St,San Francisco,CA,8/30/76,6/1/16,,4444 Geary Blvd Ste 105,San Francisco,94118,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,4,Sunset/Parkside,POINT (-122.48907 37.761143),39,10,7,35,39
Mahony Ann,Mahony Interior-Graphic Design,900 Chestnut St,San Francisco,CA,1/1/05,1/1/05,,Po Box 475166,San Francisco,94147,CA,Wholesale Trade,FALSE,FALSE,2,Russian Hill,POINT (-122.41827 37.803146),107,6,6,32,107
Ross James & Virginia,J & G Upholstery,3231 Balboa St,San Francisco,CA,3/1/78,3/1/78,,3231 Balboa St,San Francisco,94121,CA,Retail Trade,FALSE,FALSE,1,Outer Richmond,POINT (-122.49341 37.775867),8,8,4,29,8
Boonyaratanakornkit Anupong,Bangkok Importers-Exporters Co,624 6th Ave,San+francisco,CA,4/1/79,4/1/79,12/31/20,,,,,Wholesale Trade,FALSE,FALSE,1,Inner Richmond,POINT (-122.463776 37.776752),5,8,4,11,5
Horn Maria Wang,1849 Page Apts,1849 Page St,San Francisco,CA,10/16/78,10/16/78,,1049 Rudgear Rd,Walnut Creek,94596,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,5,Haight Ashbury,POINT (-122.45121 37.77039),25,7,11,3,25
Realm Communications Group Inc,Realm Communications Group Inc,840 Yosemite Way,Milpitas,CA,8/27/04,8/27/04,,840 Yosemite Way,Milpitas,95035,CA,Multiple,FALSE,FALSE,,,POINT (-121.884636 37.42329),,,,,
Christopher Berini,Views On Potrero,515 Vermont Street,San Francisco,CA,10/31/19,10/31/19,10/31/20,,,,,Accommodations,FALSE,FALSE,10,Potrero Hill,POINT (-122.40431 37.763138),54,2,9,26,54
Propark America West Llc,Pro Park America West Llc,222 Kearny St,San Francisco,CA,8/1/01,11/9/16,11/18/16,Po Box 204,San Francisco,94104,CA,,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40386 37.790104),19,6,3,8,19
Murer Klaus,Murer Klaus,370 Sutter St,San Francisco,CA,10/1/68,10/1/68,12/31/16,,,,,Retail Trade,FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40647 37.789524),19,6,3,8,19
Benton Fletcher C Ii,Fletcher Benton Studio,250 Dore St,San Francisco,CA,1/1/99,1/1/99,,250 Dore St,San Francisco,94103,CA,"Arts, Entertainment, and Recreation",FALSE,FALSE,6,South of Market,POINT (-122.40992 37.771404),32,1,10,34,32
Flinton Charles A,San Francisco Forensic Institu,870 Market St Ste 1107,San Francisco,CA,7/1/99,7/1/09,7/5/19,0000 Undeliverable Mail,San Francisco,99999,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,3,Financial District/South Beach,POINT (-122.40703 37.7849),19,5,3,8,19
Great Wall Investment America Llc,Pink Pink Tea Shoppe,845 Market St Ste Fe11,San Francisco,CA,7/1/20,7/1/20,,845 Market St Fe11 Ste,San Francisco,94103,CA,Food Services,FALSE,FALSE,6,South of Market,POINT (-122.40681 37.784874),32,5,10,34,32
Coderpad Inc.,Coderpad Inc.,995 Market St 225,San Francisco,CA,7/1/15,7/1/15,,44 Montgomery St 3 Ste,San Francisco,94104,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,6,South of Market,POINT (-122.41007 37.782307),32,5,10,34,32
Gerrie Patricia L,Pattie Gerrie Skincare Forever,4220 26th St,San Francisco,CA,6/1/80,1/1/00,,4220 26th St,San Francisco,94131,CA,Private Education and Health Services,FALSE,FALSE,8,Noe Valley,POINT (-122.43429 37.748093),84,3,5,22,84
Blomberg Window Systems,Blomberg Window Systems,P O Box 22485 Sacramento Ca,Brisbane+q4068,,1/1/80,1/1/80,12/31/13,,,,,,FALSE,FALSE,,,POINT (-121.353905 38.56009),,,,,
Aaa Flag & Banner Mfg Co Inc,Aaa Flag & Banner Mfg Co Inc,113 10th St,San Francisco,CA,1/29/82,1/29/82,11/1/16,8955 National Blvd,Los Angeles,90034,CA,Manufacturing,FALSE,FALSE,6,South of Market,POINT (-122.415665 37.775116),32,1,10,34,32
Terminix International Co Lp,Terminix International Co Lp,32980 Alvarado Niles Rd Ste 826,Union+city,CA,3/1/82,1/1/11,12/31/16,150 Peabody Pl # Tax-0020,Memphis,38103,TN,Administrative and Support Services,FALSE,FALSE,,,POINT (-122.04537 37.593945),,,,,
Oda-Wg Inc,Wcg Ventures,60 Francisco St,San Francisco,CA,1/1/12,1/1/12,,0000 Undeliverable Mail,San Francisco,99999,CA,,FALSE,FALSE,3,North Beach,POINT (-122.40576 37.80567),99,6,3,23,99
Ip Wing Keung & Koon Shuk Mei,Meranda Dry Cleaning,1364 Church St,San Francisco,CA,9/10/13,9/10/13,10/31/14,,,,,,FALSE,FALSE,8,Noe Valley,POINT (-122.42721 37.749023),84,3,5,22,84
Parata Systems Inc,Parata Systems Inc,2600 Meridian Pkwy #100,Durham,NC,3/10/10,3/10/10,,106 Roche Dr,Durham,27703,NC,Retail Trade,FALSE,FALSE,,,POINT (-78.90308 35.9136),,,,,
Bertuccelli Victor G,True Tech Communications,47 Joy Ave Apt D,Brisbane,CA,5/16/06,8/1/09,7/4/14,103 Redwood Rd,Fairfax,94930,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,,,POINT (-122.39616 37.679462),,,,,
Meredith Shabow,Saucy Bandits Llc,1501 Cortland Ave,San Francisco,CA,8/25/20,8/25/20,,5130 Fulton St 1 Apt,San Francisco,94121,CA,,FALSE,FALSE,9,Bernal Heights,POINT (-122.40938 37.73974),83,9,2,2,83
Propark America West Llc,Propark,280 Spear St,San Francisco,CA,8/1/01,6/2/20,,Po Box 204,San Francisco,94104,CA,,FALSE,FALSE,6,Financial District/South Beach,POINT (-122.391335 37.790318),108,1,10,8,108
Essadiki Abdeljalil,City Exress Limousine Service,1499 Bayshore Hwy 224,Hillsborough,CA,7/7/99,10/1/11,,0000 Undeliverable Mail,San Francisco,99999,CA,Transportation and Warehousing,FALSE,FALSE,,,POINT (-122.36645 37.597294),,,,,
Financial Resources Group Inc,Robert Thorpe Enterprises Llc,750 Bay St #3,San Francisco,CA,1/1/06,2/1/15,,750 Bay St 3 Apt,San Francisco,94109,CA,,FALSE,TRUE,2,Russian Hill,POINT (-122.41937 37.80492),99,6,6,32,99
Propark America West Llc,Propark America West Llc,210 Ellis St,San Francisco,CA,8/1/01,6/1/17,,Po Box 204,San Francisco,94104,CA,,TRUE,FALSE,6,Tenderloin,POINT (-122.40976 37.78528),20,5,10,36,20
Flowers Loma K,Flowers Loma K Md,1670 Plymouth Ave,San Francisco,CA,3/1/76,3/1/76,,1670 Plymouth Ave,San Francisco,94127,CA,Private Education and Health Services,FALSE,FALSE,7,West of Twin Peaks,POINT (-122.45799 37.732487),70,9,8,41,70
Paramount Ocean Products Inc,Paramount Ocean Products Inc,327 Parker Ave,San Francisco,CA,1/1/77,1/1/06,4/4/21,,,,,Wholesale Trade,FALSE,FALSE,1,Lone Mountain/USF,POINT (-122.45387 37.779877),12,7,4,18,12
Indart Jean & Josette,750 Bacon Apts,750 Bacon St,San Francisco,CA,5/5/76,5/5/76,,1601 Silliman St,San Francisco,94134,CA,Multiple,FALSE,FALSE,9,Portola,POINT (-122.41004 37.72598),91,2,2,25,91
Kin Keung Lee + Anita Lee,United Dba #432,187 Clearfield Dr,San Francisco,CA,7/2/76,10/1/99,5/30/20,,,,,Transportation and Warehousing,FALSE,FALSE,7,Sunset/Parkside,POINT (-122.49101 37.72992),43,10,8,35,43
Ng Ronald,Ng Ronald Dr Optometrist,1550 Pacific Ave,San Francisco,CA,4/16/77,4/16/77,4/1/16,,,,,Real Estate and Rental and Leasing Services,FALSE,FALSE,3,Russian Hill,POINT (-122.42078 37.79516),105,4,3,32,105
Scardina Anthony Etal,3445 California Bldg,3445 California St,San Francisco,CA,1/1/99,1/1/99,,314 Jester Ct Jester Ct # 314,Petaluma,94954,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,2,Presidio Heights,POINT (-122.45086 37.78671),11,8,6,31,11
Sung Steven M,Steve's Jewelry,4688 P.o. Box,Foster+city,CA,9/7/85,8/18/17,8/18/17,Po Box 4688,Foster City,94404,CA,Wholesale Trade,FALSE,FALSE,,,POINT (-122.27027 37.56351),,,,,
Mindermann John W,Ames Alley Press,1559 Sloat Blvd #173,San Francisco,CA,1/27/14,1/27/14,12/31/20,,,,,,FALSE,FALSE,7,Sunset/Parkside,POINT (-122.48982 37.733974),43,10,8,35,43
Uribe Carey D,Ace Specialtys Use Dean To Clean,7801 Crest Ave,Oakland,CA,9/15/11,3/25/15,,7801 Crest Ave,Oakland,94605,CA,Construction,FALSE,FALSE,,,POINT (-122.1621 37.76942),,,,,
Tef-Hobstetter Jv,Tef-Hobstetter Jv,1420 Sutter St 2nd,San Francisco,CA,8/7/17,8/7/17,,1420 Sutter St 2 Fl,San Francisco,94109,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,2,Western Addition,POINT (-122.42381 37.787315),100,4,6,39,100
Young Erika L,Erika Young,1655 25th Ave Apt,San Francisco,CA,4/1/04,4/15/17,,1655 25th Ave,San Francisco,94122,CA,"Arts, Entertainment, and Recreation",FALSE,FALSE,4,Sunset/Parkside,POINT (-122.48312 37.756668),39,10,7,35,39
Andrews Harry H,Andrews And Co,624 Post St,San Francisco,CA,8/11/72,5/23/14,,3505 Rolling Oaks Rd,Santa Rosa,95404,CA,Accommodations,FALSE,FALSE,3,Nob Hill,POINT (-122.41213 37.787846),50,6,3,21,50
Salomone Edward E,1690 Evans Property,1690 Evans Ave,San Francisco,CA,1/1/73,2/1/73,,2550 Roundhill Dr,Alamo,94507,CA,,FALSE,FALSE,10,Bayview Hunters Point,POINT (-122.390076 37.74394),56,2,9,1,56
Fiedler Denise,Paste,438 Avila St,San Francisco,CA,3/30/09,3/30/09,,1410 Vallejo St,San Francisco,94109,CA,Multiple,FALSE,FALSE,2,Marina,POINT (-122.440384 37.805386),17,4,6,13,17
Nayelli Dennise Cervantes,Nayelli Dennise Cervantes,381 Guerrero St,San Francisco,CA,3/2/21,3/2/21,,2900 St. Paul Dr Apt #206,Santa Rosa,95405,CA,,FALSE,FALSE,8,Mission,POINT (-122.42406 37.76514),37,3,5,20,37
483 Broadway Llc,483 Broadway Llc,483 Broadway,San Francisco,CA,1/1/86,10/13/11,,P.o. Box 1328 P.o. Box 1328,Ross,94957,CA,Real Estate and Rental and Leasing Services,FALSE,FALSE,3,North Beach,POINT (-122.40518 37.798027),106,6,3,23,106
Meghan Berman,Berman Houseplants,1395 22nd Street  844,San Francisco,CA,3/5/21,3/5/21,,1395 22nd Street 844,San Francisco,94107,CA,Retail Trade,FALSE,FALSE,10,Potrero Hill,POINT (-122.39506 37.757942),54,2,9,26,54
Benjamini Inc,Benjamini Associates Inc,720 York St 114,San Francisco,CA,1/1/06,1/1/06,11/14/18,439 Diamond St,San Francisco,94114,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,10,Mission,POINT (-122.409035 37.760223),53,3,9,20,53
Benjamini Inc,Benjamini Inc,720 York St 114,San Francisco,CA,1/1/06,1/1/06,1/16/19,439 Diamond St,San Francisco,94114,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,10,Mission,POINT (-122.409035 37.760223),53,3,9,20,53
Benjamini Inc,Benjamini Inc,720 York St,San Francisco,CA,1/1/06,11/14/18,,439 Diamond St,San Francisco,94114,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,10,Mission,POINT (-122.409035 37.760223),53,3,9,20,53
Benjamini Inc,Benjamini Associates Inc,720 York St Ste 114,San Francisco,CA,1/1/06,1/1/06,1/9/19,439 Diamond St,San Francisco,94114,CA,"Professional, Scientific, and Technical Services",FALSE,FALSE,10,Mission,POINT (-122.409035 37.760223),53,3,9,20,53
Makita Usa Inc,Makita Usa Inc,14930c Northamst La Miranda Ca,La+mirada,CA,3/1/86,3/1/86,,14930 Northam St #,La Mirada,90638,CA,Wholesale Trade,FALSE,FALSE,,,POINT (-118.01256 33.884766),,,,,
Mceachron Assoc Architects In,Mceachron  Architects Inc,100 Edgewood Ave,San Francisco,CA,5/1/84,5/1/84,8/31/14,5758 Geary Blvd 239 #,San Francisco,94121,CA,Certain Services,FALSE,FALSE,5,Inner Sunset,POINT (-122.45491 37.763573),110,7,11,14,110
Cruz Fernando,Cruz Ortega,1536 Ursula Way,E+palo+alto,CA,1/9/17,1/9/17,,1631 Shafter Ave A Unit,San Francisco,94124,CA,,FALSE,FALSE,,,POINT (-122.14119 37.472973),,,,,
Jordan Fierro,Vrspirit.click,8 Dakota St,San Fransisco,CA,3/6/21,3/6/21,,8 Dakota St,San Fransisco,94107,CA,,FALSE,FALSE,10,Potrero Hill,POINT (-122.39655 37.754566),54,2,9,26,54
Petru Construction Inc.,Petru Construction Inc.,3654 El Dala Ln,Sacramento,CA,3/5/21,3/5/21,,3654 El Dala Ln,Sacramento,95834,CA,Construction,FALSE,FALSE,,,POINT (-121.54353 38.644924),,,,,
